▁a	8
▁se	3
▁v	7
▁na	7
▁je	5
▁že	8
▁o	7
▁s	7
▁to	3
▁pro	7
▁nebo	8
▁k	7
▁z	7
▁do	7
▁ve	7
▁by	5
▁si	3
▁které	8
▁za	7
▁jsem	5
▁být	5
▁jsou	5
▁jako	8
▁aby	8
▁1	4
▁ze	7
▁V	7
▁ale	8
▁tak	6
▁co	8
▁po	7
▁i	8
▁nařízení	1
▁Komise	1
▁dne	1
▁2	4
▁od	7
▁č	1
▁podle	7
▁byl	5
▁než	8
▁který	3
▁jak	8
▁jeho	3
▁řízení	1
▁A	8
▁bude	5
▁musí	5
▁která	3
▁byla	5
▁bylo	5
▁rozhodnutí	1
▁může	5
▁u	7
▁při	7
▁opatření	1
▁pokud	8
▁jejich	3
▁ho	3
▁mezi	7
▁3	4
▁když	8
▁není	5
▁má	5
▁Je	3
▁odst	1
▁jen	6
▁To	3
▁mi	3
▁Společenství	1
▁této	3
▁mu	3
▁před	7
▁případě	1
▁4	4
▁tohoto	3
▁jsme	5
▁ke	7
▁toho	3
▁Článek	1
▁Rady	1
▁mě	3
▁souladu	1
▁byly	5
▁až	6
▁své	3
▁EU	1
▁Evropské	2
▁však	6
▁státy	1
▁oblasti	1
▁5	4
▁ještě	6
▁informace	1
▁řekl	5
▁mohou	5
▁tom	3
▁právní	2
▁těchto	3
▁proti	7
▁ani	6
▁ji	3
▁tomu	3
▁jste	5
▁bez	7
▁Na	7
▁všech	6
▁tu	3
▁ohledem	1
▁pouze	6
▁zejména	6
▁článku	1
▁Ale	8
▁směrnice	1
▁měl	5
▁základě	1
▁další	2
▁členských	2
▁kdy	8
▁rámci	1
▁něco	3
▁bych	5
▁Komisi	1
▁mají	5
▁jsi	5
▁tím	3
▁soud	1
▁kde	8
▁tam	6
▁Evropského	2
▁budou	5
▁soudu	1
▁unie	1
▁6	4
▁států	1
▁ty	3
▁ti	3
▁pod	7
▁pak	6
▁tyto	3
▁práva	1
▁či	8
▁protože	8
▁stanoví	5
▁více	6
▁pomoc	1
▁její	3
▁kterým	3
▁kteří	3
▁já	3
▁období	1
▁jí	3
▁let	1
▁země	1
▁již	6
▁kterou	3
▁tento	3
▁lze	5
▁právo	1
▁mít	5
▁měla	5
▁jde	5
▁10	4
▁2007	4
▁možné	2
▁ten	3
▁proto	8
▁2005	4
▁teď	6
▁strany	1
▁Toto	3
▁Za	7
▁vám	3
▁roku	1
▁orgány	1
▁soudní	2
▁Tato	3
▁uvedené	2
▁nad	7
▁Jak	6
▁nás	3
▁tomto	3
▁jiné	2
▁2006	4
▁vás	3
▁trhu	1
▁8	4
▁tady	6
▁podpory	1
▁společnosti	1
▁zařízení	1
▁Když	8
▁2004	4
▁pane	1
▁včetně	6
▁státu	1
▁věci	1
▁Pro	7
▁jež	3
▁parlamentu	1
▁týkající	5
▁7	4
▁návrh	1
▁Evropská	2
▁ustanovení	1
▁velmi	6
▁systému	1
▁během	1
▁tě	3
▁tato	3
▁finanční	2
▁jeden	4
▁roce	1
▁2008	4
▁zemí	1
▁S	7
▁výše	1
▁nejsou	5
▁provádění	1
▁stát	1
▁služby	1
▁společenství	1
▁ní	3
▁případech	1
▁první	4
▁mohl	5
▁přímo	6
▁dohody	1
▁politiky	1
▁Já	3
▁stále	6
▁použití	1
▁členské	2
▁svou	3
▁0	4
▁toto	3
▁nich	3
▁uvedených	2
▁jim	3
▁svého	3
▁podporu	1
▁měly	5
▁prostřednictvím	1
▁pomoci	1
▁nám	3
▁příloze	1
▁rok	1
▁informací	1
▁mám	5
▁K	7
▁prostředí	1
▁nikdy	6
▁podmínky	1
▁pravidla	1
▁odvětví	1
▁tuto	3
▁osoby	1
▁2009	4
▁Tak	6
▁svých	3
▁řešení	1
▁soudního	2
▁9	4
▁jiných	2
▁zvláštní	2
▁žádosti	1
▁předpisy	1
▁dobře	6
▁nové	1
▁kdo	8
▁něj	3
▁programu	1
▁dobu	1
▁den	1
▁15	4
▁způsobem	1
▁úrovni	1
▁služeb	1
▁20	4
▁Z	7
▁12	4
▁tímto	3
▁prosince	1
▁žádost	1
▁činnosti	1
▁údaje	1
▁Ve	7
▁platnost	1
▁30	4
▁dva	4
▁části	1
▁práce	1
▁státní	2
▁Právní	2
▁Nařízení	1
▁prostředky	1
▁O	7
▁cílem	1
▁náklady	1
▁pacientů	1
▁systém	1
▁údajů	1
▁nelze	5
▁Evropský	2
▁byli	5
▁přístup	1
▁června	1
▁právních	2
▁spolupráci	1
▁státech	1
▁sociální	2
